OrgID,EnrollDate,ChurnDate,OrgSize,Industry,IndustryGroup,Enrollment Plan,PromoType,Acquisition Channel,F28 Active Rate,Avg Lifetime Active,F28 Cc Flag,eLTV/CAC,Churned,Enrollment Duration,User_id
402732,2021-10-05,,2-6,Plumbing,Plumbing,Small,One Month,Marketing - Paid,0.429,0.479,1,2.7,0,430.0,40273220211005
402733,2021-10-05,,0-1,Landscaping & Lawn,Landscaping & Lawn,Starter,One Month,Sales,0.0,0.013000000000000001,0,0.8,0,430.0,40273320211005
402752,2021-10-05,,2-6,Lighting,Other,Small,One Month,Marketing - Unpaid,0.036000000000000004,0.32799999999999996,0,2.3,0,430.0,40275220211005
402754,2021-10-05,,0-1,Plumbing,Plumbing,Large,No Promo,Marketing - Unpaid,0.214,0.12300000000000001,0,6.6,0,430.0,40275420211005
402758,2021-10-14,,0-1,Cabinetry,Other,Extra large,2+ month,Marketing - Paid,0.857,0.863,0,15.1,0,421.0,40275820211014
402762,2021-10-05,,2-6,Handyman,Handyman,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,1.5,0,430.0,40276220211005
402763,2021-10-05,,0-1,Construction/Remodels,Other,Starter,One Month,Marketing - Paid,0.179,0.109,0,1.0,0,430.0,40276320211005
402765,2021-10-05,,0-1,Other,Other,Small,One Month,Sales,0.036000000000000004,0.013000000000000001,0,1.9,0,430.0,40276520211005
402769,2021-10-05,,2-6,Cabinetry,Other,Small,One Month,Sales,0.071,0.12300000000000001,0,2.2,0,430.0,40276920211005
402770,2021-10-05,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Starter,One Month,,0.5710000000000001,0.493,0,2.6,0,430.0,40277020211005
402772,2021-10-11,,2-6,Window & Exterior Cleaning,Window & Exterior,Small,No Promo,Marketing - Paid,0.893,0.057999999999999996,1,2.6,0,424.0,40277220211011
402774,2021-10-05,2021-11-08,2-6,Flooring,Other,Small,One Month,Sales,0.0,0.013000000000000001,0,2.2,1,34.0,40277420211005
402778,2021-10-05,2021-11-04,2-6,Plumbing,Plumbing,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,3.2,1,30.0,40277820211005
402784,2021-10-05,,0-1,Real Estate,Other,Small,No Promo,Sales,0.321,0.43799999999999994,1,2.0,0,430.0,40278420211005
402790,2021-10-05,2021-12-07,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Marketing - Paid,0.0,0.013000000000000001,0,4.2,1,63.0,40279020211005
402797,2021-10-05,2021-11-04,0-1,Landscaping & Lawn,Landscaping & Lawn,Starter,No Promo,Sales,0.036000000000000004,0.013000000000000001,0,0.9,1,30.0,40279720211005
402799,2021-10-05,2021-12-04,0-1,Home Cleaning,Home Cleaning,Starter,One Month,Sales,0.107,0.054000000000000006,0,0.9,1,60.0,40279920211005
402802,2021-10-05,,0-1,Construction/Remodels,Other,Starter,No Promo,Sales,0.036000000000000004,0.013000000000000001,0,0.9,0,430.0,40280220211005
402804,2021-10-05,2021-11-04,0-1,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Sales,0.036000000000000004,0.027000000000000003,0,1.6,1,30.0,40280420211005
402808,2021-10-08,,2-6,Heating & Air Conditioning,Heating & Air Conditioning,Small,One Month,Sales,0.071,0.08199999999999999,0,3.2,0,427.0,40280820211008
402812,2021-10-06,,7-10,Painting,Other,Extra large,Special - One Month,Sales,0.036000000000000004,0.08199999999999999,0,10.8,0,429.0,40281220211006
402818,2021-10-06,,0-1,Garage,Garage,Small,One Month,Marketing - Unpaid,0.28600000000000003,0.342,0,2.8,0,429.0,40281820211006
402823,2021-10-06,,2-6,Plumbing,Plumbing,Large,2+ month,Marketing - Paid,0.893,0.89,0,7.3,0,429.0,40282320211006
402824,2021-10-05,,0-1,Handyman,Handyman,Small,One Month,Marketing - Paid,0.7859999999999999,0.8490000000000001,1,1.7,0,430.0,40282420211005
402825,2021-10-06,,0-1,Pest Control,Other,Small,One Month,Marketing - Paid,0.214,0.136,0,2.5,0,429.0,40282520211006
402827,2021-10-05,2021-11-22,2-6,Handyman,Handyman,Small,One Month,Sales,0.107,0.068,0,1.7,1,48.0,40282720211005
402829,2021-10-05,2021-10-26,0-1,Tree Service,Other,Starter,One Month,Sales,0.0,0.013000000000000001,0,0.8,1,21.0,40282920211005
402838,2021-10-23,,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,Special - One Month,Marketing - Paid,0.036000000000000004,0.068,0,,0,412.0,40283820211023
402840,2021-10-05,2021-12-05,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Starter,One Month,Sales,0.0,0.013000000000000001,0,1.8,1,61.0,40284020211005
402847,2021-10-17,,0-1,Handyman,Handyman,Starter,No Promo,Marketing - Unpaid,0.107,0.068,0,0.9,0,418.0,40284720211017
402858,2021-10-07,,0-1,Plumbing,Plumbing,Large,2+ month,Marketing - Unpaid,0.893,0.917,1,8.3,0,428.0,40285820211007
402863,2021-10-06,,2-6,Junk Removal,Other,Small,No Promo,Marketing - Paid,0.9640000000000001,0.972,1,2.6,0,429.0,40286320211006
402865,2021-10-23,,0-1,Automotive,Other,Starter,No Promo,Marketing - Paid,0.321,0.23199999999999998,0,,0,412.0,40286520211023
402867,2021-10-16,,0-1,Plumbing,Plumbing,Small,No Promo,,0.7140000000000001,0.78,1,2.6,0,419.0,40286720211016
402895,2021-10-06,2021-12-05,0-1,Heating & Air Conditioning,Heating & Air Conditioning,Large,Special - One Month,Sales,0.0,0.013000000000000001,0,7.7,1,60.0,40289520211006
402897,2021-10-06,2021-11-09,2-6,General Contractor,General Contractor,Small,One Month,Sales,0.0,0.013000000000000001,0,1.6,1,34.0,40289720211006
402898,2021-10-13,,0-1,Landscaping & Lawn,Landscaping & Lawn,Small,One Month,Marketing - Unpaid,0.214,0.138,0,2.0,0,422.0,40289820211013
